id,nombre_medio,tipo_medio,url,seccion,titulo,autor,fecha_publicacion,resumen,texto,keywords,subjetividad,polaridad,imagen_principal,imagenes_2
1,New York Times,periodico,https://www.nytimes.com/2023/10/05/us/politics/republicans-ukraine-aid.html,Portada del dia,Opposition to Ukraine Aid Becomes a Litmus Test for the Right,"{""Karoun Demirjian""}",2023-10-05,"They rallied a majority of their colleagues in the House to vote against funding a program to train and equip Ukrainian troops.
The division among Republicans on the issue is now on vivid display in the fight to replace Mr. McCarthy, which pits Representative Steve Scalise of Louisiana, the No.
2 Republican who has backed aid to Ukraine, against Representative Jim Jordan of Ohio, the Judiciary Committee chairman who is vocally opposed.
They were particularly concerned last week, when 117 Republicans — a majority of their members — voted against a bill that would fund a $300 million program to train and equip Ukrainian fighters.
opposition almost certainly spells trouble ahead in the House, where Republicans typically refuse to take action on anything that does not have the backing of a majority of their own members.","In the past few days, Republicans managed to strip billions in military and humanitarian assistance requested by Mr. Biden out of a stopgap spending bill to keep the government from shutting down. They rallied a majority of their colleagues in the House to vote against funding a program to train and equip Ukrainian troops. And a small faction of hard-liners joined with Democrats to boot Representative Kevin McCarthy, Republican of California, as speaker after accusing him of making a “secret side deal” with Mr. Biden to fund Kyiv’s war against Russia.

The division among Republicans on the issue is now on vivid display in the fight to replace Mr. McCarthy, which pits Representative Steve Scalise of Louisiana, the No. 2 Republican who has backed aid to Ukraine, against Representative Jim Jordan of Ohio, the Judiciary Committee chairman who is vocally opposed.

While the naysayers still represent a minority overall in Congress, the dramatic shift in Republican sentiment has left Ukraine’s boosters in the party angry, alarmed and working to figure out how to reverse the trend before a lapse in funding hampers Ukraine on the battlefield.

They were particularly concerned last week, when 117 Republicans — a majority of their members — voted against a bill that would fund a $300 million program to train and equip Ukrainian fighters. The bill passed, but that level of G.O.P. opposition almost certainly spells trouble ahead in the House, where Republicans typically refuse to take action on anything that does not have the backing of a majority of their own members.

Representative Mike D. Rogers, Republican of Alabama and the chairman of the Armed Services Committee, lamented what he called a “small contingent” of rabble rousers “who have turned this into a bargaining chip for their schemes.”","ukrainian,bill,representative,republican,test,republicans,right,small,majority,aid,mr,litmus,opposition,ukraine,train",0.30590,-0.05919,https://static01.nyt.com/images/2023/10/05/multimedia/05dc-gop-ukraine-01-zqhf/05dc-gop-ukraine-01-zqhf-facebookJumbo.jpg,"{'https://static01.nyt.com/images/2023/10/05/multimedia/05dc-gop-ukraine-01-zqhf/05dc-gop-ukraine-01-zqhf-articleLarge.jpg?quality=75&auto=webp&disable=upscale', 'https://static01.nyt.com/images/2023/10/05/multimedia/05dc-gop-ukraine-01-zqhf/05dc-gop-ukraine-01-zqhf-facebookJumbo.jpg', 'https://static01.nyt.com/images/2023/02/07/reader-center/author-Karoun-Demirjian/author-Karoun-Demirjian-thumbLarge-v3.png'}"
2,New York Times,periodico,https://www.nytimes.com/2023/10/05/us/politics/biden-republicans-speaker-house-ukraine.html,Portada del dia,Biden Watches Republican Dysfunction From a Distance,"{""Michael D. Shear""}",2023-10-05,"Just a week ago, President Biden vowed never to “hide from history” as he tries to defend American democracy, arguing in a major address that the best way to challenge extremist elements in the Republican Party is to “make clear where we stand.”But the president is taking a step back from view during the latest challenge to the country’s democratic norms and institutions — an ideological succession battle in the House after a handful of rogue Republicans ousted Representative Kevin McCarthy of California from his speaker post.
Mr. Biden promised to bring less drama to the White House after four years of turmoil under his predecessor, and he seems happy to let his rivals eat themselves alive.
Still, choosing not to seize the spotlight in a dysfunctional moment for democracy is a striking decision for a president who often struggles to find ways to command the public’s attention.
In brief remarks on Wednesday, Mr. Biden emphasized the power of normalcy and stability, urging politicians to “stop seeing each other as enemies.” But he and his top aides have chosen not to weigh in on who should be the next speaker, much less pin the blame for the chaos on the political forces stoked by his predecessor and aspiring successor, Donald J. Trump.","Just a week ago, President Biden vowed never to “hide from history” as he tries to defend American democracy, arguing in a major address that the best way to challenge extremist elements in the Republican Party is to “make clear where we stand.”

But the president is taking a step back from view during the latest challenge to the country’s democratic norms and institutions — an ideological succession battle in the House after a handful of rogue Republicans ousted Representative Kevin McCarthy of California from his speaker post.

Mr. Biden promised to bring less drama to the White House after four years of turmoil under his predecessor, and he seems happy to let his rivals eat themselves alive. Still, choosing not to seize the spotlight in a dysfunctional moment for democracy is a striking decision for a president who often struggles to find ways to command the public’s attention.

In brief remarks on Wednesday, Mr. Biden emphasized the power of normalcy and stability, urging politicians to “stop seeing each other as enemies.” But he and his top aides have chosen not to weigh in on who should be the next speaker, much less pin the blame for the chaos on the political forces stoked by his predecessor and aspiring successor, Donald J. Trump.","white,democracy,weigh,speaker,week,distance,watches,biden,president,predecessor,house,republican,challenge,dysfunction",0.37098,0.17282,https://static01.nyt.com/images/2023/10/05/multimedia/05dc-memo-03a-wplb/05dc-memo-03a-wplb-facebookJumbo.jpg,"{'https://static01.nyt.com/images/2023/10/05/multimedia/05dc-memo-03a-wplb/05dc-memo-03a-wplb-facebookJumbo.jpg', 'https://static01.nyt.com/images/2023/10/05/multimedia/05dc-memo-03a-wplb/05dc-memo-03a-wplb-articleLarge.jpg?quality=75&auto=webp&disable=upscale', 'https://static01.nyt.com/images/2018/06/13/multimedia/author-michael-d-shear/author-michael-d-shear-thumbLarge-v2.png'}"
3,New York Times,periodico,https://www.nytimes.com/2023/10/05/us/kevin-mccarthy-california-hometown.html,Portada del dia,"In Kevin McCarthy’s Hometown, Reflections on His Sudden Fall","{""Jill Cowan""}",2023-10-05,"He was first and foremost a nice local guy, born and raised in Bakersfield, where he also attended college.
While he was still in college, Mr. McCarthy started working for Representative Bill Thomas, an influential Republican rainmaker who took the ambitious young man under his wing.
Mr. McCarthy rose through the California Legislature before being elected to Congress in 2006 as Mr. Thomas’s anointed successor.
Even then, observers said it seemed clear that Mr. McCarthy was more focused on amassing political power than scoring policy wins.
(Mr. Thomas declined to comment on the record for this article.)","“It’s the first time he had a backbone on doing the thing that served the best interests of our nation,” she said. “There’s been a disconnect between Kevin McCarthy and his district for a long time — he became part of that D.C. life and kind of forgot who his constituents are.”

The story of Mr. McCarthy’s relentless rise is well-known and often repeated in his hometown. He was first and foremost a nice local guy, born and raised in Bakersfield, where he also attended college. Around that time, he opened a small deli in a corner of a frozen yogurt shop owned by his aunt and uncle. (Whether this experience earned him the right to describe himself forever after as a small business entrepreneur is a matter of some discussion.)

While he was still in college, Mr. McCarthy started working for Representative Bill Thomas, an influential Republican rainmaker who took the ambitious young man under his wing. Mr. McCarthy rose through the California Legislature before being elected to Congress in 2006 as Mr. Thomas’s anointed successor. Even then, observers said it seemed clear that Mr. McCarthy was more focused on amassing political power than scoring policy wins.

Many who have watched his rise to speaker of the House say they now saw Mr. McCarthy as a kind of tragic figure — a victim not only of attacks from the extreme right or Democrats, but also of his own drive to claw his way up the political ladder.

“The problem is a little thing on your desk that says ‘speaker’ and that’s all you have,” Mr. Thomas said in an interview with a local television station after the vote to remove Mr. McCarthy from the speakership. (Mr. Thomas declined to comment on the record for this article.)","sudden,thomas,thing,speaker,political,reflections,mccarthys,rise,mccarthy,small,right,kevin,mr,fall,local,hometown",0.45438,0.17932,https://static01.nyt.com/images/2023/10/05/multimedia/05nat-bakersfield-zkjq/05nat-bakersfield-zkjq-facebookJumbo.jpg,"{'https://static01.nyt.com/images/2023/10/05/multimedia/05nat-bakersfield-zkjq/05nat-bakersfield-zkjq-articleLarge.jpg?quality=75&auto=webp&disable=upscale', 'https://static01.nyt.com/images/2018/12/10/multimedia/author-jill-cowan/author-jill-cowan-thumbLarge.png', 'https://static01.nyt.com/images/2023/10/05/multimedia/05nat-bakersfield-zkjq/05nat-bakersfield-zkjq-facebookJumbo.jpg'}"
4,New York Times,periodico,https://www.nytimes.com/2023/10/05/us/biden-border-wall-waiver.html,Portada del dia,"In Reversal, Biden Administration Moves to Expand Border Wall","{""Miriam Jordan""}",2023-10-05,"President Biden campaigned vociferously against building a wall along the U.S.-Mexico border, which his predecessor had championed as a key deterrent to unlawful crossings.
A wall, Mr. Biden said, was “not a serious policy solution.”But facing a surge of migrants this year and sharp criticism even from some political allies, the Biden administration has backed away from its hard line on expanding the wall.
The administration filed notice on Thursday that it was waiving more than 20 federal laws and regulations, including environmental ones, to build additional barriers along the Southern border.
With the shift, Mr. Biden finds himself helping to build a border wall that was one of the signature objectives of the Trump administration, even as he maintains that such barriers are ineffective in curbing unlawful entry from Mexico.
It is one of the starkest signs yet of the challenges Mr. Biden and his administration are wrestling with, as humanitarian crises across the world drive more migrants to the U.S. border while a deeply divided Congress leaves in place an outdated, dysfunctional immigration system.","President Biden campaigned vociferously against building a wall along the U.S.-Mexico border, which his predecessor had championed as a key deterrent to unlawful crossings. A wall, Mr. Biden said, was “not a serious policy solution.”

But facing a surge of migrants this year and sharp criticism even from some political allies, the Biden administration has backed away from its hard line on expanding the wall. The administration filed notice on Thursday that it was waiving more than 20 federal laws and regulations, including environmental ones, to build additional barriers along the Southern border.

With the shift, Mr. Biden finds himself helping to build a border wall that was one of the signature objectives of the Trump administration, even as he maintains that such barriers are ineffective in curbing unlawful entry from Mexico.

It is one of the starkest signs yet of the challenges Mr. Biden and his administration are wrestling with, as humanitarian crises across the world drive more migrants to the U.S. border while a deeply divided Congress leaves in place an outdated, dysfunctional immigration system.","wall,administration,biden,build,unlawful,mr,reversal,expand,wrestling,barriers,border,moves,migrants",0.55514,0.04417,https://static01.nyt.com/images/2023/10/05/multimedia/05NAT-BORDER-WALL-2-vtqf/05NAT-BORDER-WALL-2-vtqf-facebookJumbo-v2.jpg,"{'https://static01.nyt.com/images/2023/10/05/multimedia/05NAT-BORDER-WALL-2-vtqf/05NAT-BORDER-WALL-2-vtqf-facebookJumbo-v2.jpg', 'https://static01.nyt.com/images/2018/02/16/multimedia/author-miriam-jordan/author-miriam-jordan-thumbLarge-v2.png', 'https://static01.nyt.com/images/2023/10/05/multimedia/05NAT-BORDER-WALL-2-vtqf/05NAT-BORDER-WALL-2-vtqf-articleLarge.jpg?quality=75&auto=webp&disable=upscale'}"
9,New York Times,periodico,https://www.nytimes.com/2023/10/05/world/middleeast/syria-drone-strike.html,Portada del dia,"Drone Attack at Military Graduation in Syria Kills at Least 80, Government Says","{""Raja Abdulrahim"",""Hwaida Saad""}",2023-10-05,"At least 80 people were killed in central Syria on Thursday by drones carrying explosive ammunition targeting the graduation ceremony for cadets of a military academy, according to Syrian state media.
The attack occurred minutes after the ceremony, held in Homs Province, was ending and as people were gathering for photos, according to the Syrian Observatory for Human Rights, a Britain-based monitoring group.
The group said the victims included new graduates and 14 civilians, and estimated the death toll at 100.
No group has taken responsibility for the attack.
occupation-backed terrorist groups,” in an apparent reference to the U.S.-backed Kurdish Syrian Democratic Forces.","At least 80 people were killed in central Syria on Thursday by drones carrying explosive ammunition targeting the graduation ceremony for cadets of a military academy, according to Syrian state media.

The attack occurred minutes after the ceremony, held in Homs Province, was ending and as people were gathering for photos, according to the Syrian Observatory for Human Rights, a Britain-based monitoring group. The group said the victims included new graduates and 14 civilians, and estimated the death toll at 100. It said more than 125 were injured.

The government announced a three-day mourning period.

Video taken from the chaotic immediate aftermath of the attack showed bodies and wounded people scattered on the ground, with one man holding his leg in an attempt to stop it from bleeding.

No group has taken responsibility for the attack.

Syria’s Foreign Ministry blamed it on “U.S. occupation-backed terrorist groups,” in an apparent reference to the U.S.-backed Kurdish Syrian Democratic Forces.","attack,ceremony,wounded,syria,victims,kills,taken,80,drone,group,syrian,graduation,usbacked,according,military,toll",0.19078,0.04571,https://static01.nyt.com/newsgraphics/images/icons/defaultPromoCrop.png,{'https://static01.nyt.com/newsgraphics/images/icons/defaultPromoCrop.png'}
5,New York Times,periodico,https://www.nytimes.com/2023/10/05/us/politics/venezuela-migrants-biden.html,Portada del dia,U.S. to Begin Deporting Venezuelans in Effort to Cut Down Border Numbers,"{""Eileen Sullivan"",""Zolan Kanno-Youngs""}",2023-10-05,"The mayors of Chicago and New York have said they do not have the resources to provide shelter and other assistance to the thousands of people in need.
New York Democrats had argued that the city’s social safety net would tear under the weight of more than 110,000 recently arrived migrants unless they were allowed to work and support themselves more quickly.
Previously, the Biden administration had said it could not deport Venezuelans because of the absence of diplomatic relations with Caracas.
The statement on Thursday said the Venezuelan authorities had decided to accept the return of their nationals.
Deportations could discourage migrants from trying to enter the United States illegally but it still not operationally possible to deport every Venezuelan who crosses in between ports of entry.","The fact that the decision to deport Venezuelans came so soon after the move to allow those already in the United States to live and work legally for 18 months illustrates the predicament President Biden faces on immigration — the pressure to reduce the number of illegal crossings at the southern border versus the pressure from members of his own party who say they are overwhelmed with the number of migrants in their cities.

The mayors of Chicago and New York have said they do not have the resources to provide shelter and other assistance to the thousands of people in need. New York Democrats had argued that the city’s social safety net would tear under the weight of more than 110,000 recently arrived migrants unless they were allowed to work and support themselves more quickly.

Previously, the Biden administration had said it could not deport Venezuelans because of the absence of diplomatic relations with Caracas. The statement on Thursday said the Venezuelan authorities had decided to accept the return of their nationals.

Deportations could discourage migrants from trying to enter the United States illegally but it still not operationally possible to deport every Venezuelan who crosses in between ports of entry.

“Today’s announcement makes clear that we are committed to strictly enforcing immigration laws and quickly removing individuals who do not avail themselves of these orderly processes and choose to cross our border unlawfully,” the Homeland Security Department said in a statement on Thursday.","venezuelan,united,begin,york,cut,numbers,deporting,work,pressure,deport,states,effort,venezuelans,statement,border,migrants",0.32957,0.01608,https://static01.nyt.com/images/2023/10/05/multimedia/05dc-immig-venezuela-zmfg/05dc-immig-venezuela-zmfg-facebookJumbo.jpg,"{'https://static01.nyt.com/images/2023/10/05/multimedia/05dc-immig-venezuela-zmfg/05dc-immig-venezuela-zmfg-articleLarge.jpg?quality=75&auto=webp&disable=upscale', 'https://static01.nyt.com/images/2019/12/13/reader-center/author-eileen-sullivan/author-eileen-sullivan-thumbLarge.png', 'https://static01.nyt.com/images/2019/12/13/reader-center/author-zolan-kanno-youngs/author-zolan-kanno-youngs-thumbLarge.png', 'https://static01.nyt.com/images/2023/10/05/multimedia/05dc-immig-venezuela-zmfg/05dc-immig-venezuela-zmfg-facebookJumbo.jpg'}"
6,New York Times,periodico,https://www.nytimes.com/2023/10/05/world/americas/mexico-blinken-garland-mayorkas.html,Portada del dia,Migration and Fentanyl Take Center Stage as U.S. and Mexican Officials Meet,"{""Eileen Sullivan"",""Zolan Kanno-Youngs""}",2023-10-05,"President Biden’s top cabinet officials and their Mexican counterparts met Thursday as both countries sought a united front on drug and gun trafficking and managing record levels of migration.
The U.S. officials — Secretary of State Antony J. Blinken, Homeland Security Secretary Alejandro Mayorkas and Attorney General Merrick B. Garland — are particularly focused on bolstering efforts with Mexico to curtail the stream of deadly fentanyl wreaking havoc in communities throughout the United States.
The move comes as Mexico and the United States have struggled to cope with an influx of Venezuelans in recent weeks.
At the same time, the Biden administration waived laws so it could construct 17 miles of new border fencing in Texas.
President Andrés Manuel López Obrador of Mexico opposes the construction of a wall, and the new plans risk splintering the two nation’s strategies on migration.","President Biden’s top cabinet officials and their Mexican counterparts met Thursday as both countries sought a united front on drug and gun trafficking and managing record levels of migration.

The U.S. officials — Secretary of State Antony J. Blinken, Homeland Security Secretary Alejandro Mayorkas and Attorney General Merrick B. Garland — are particularly focused on bolstering efforts with Mexico to curtail the stream of deadly fentanyl wreaking havoc in communities throughout the United States.

But officials made a point to elevate the significance of the current global migration movement that has strained resources on both sides of the bordAs the discussions were ongoing, the Biden administration announced that it would start deporting Venezuelans who cross into the United States illegally, a decision that grew out of the meetings in Mexico City Wednesday evening. The move comes as Mexico and the United States have struggled to cope with an influx of Venezuelans in recent weeks.

At the same time, the Biden administration waived laws so it could construct 17 miles of new border fencing in Texas. President Andrés Manuel López Obrador of Mexico opposes the construction of a wall, and the new plans risk splintering the two nation’s strategies on migration.","migration,united,administration,fentanyl,biden,president,secretary,mexico,mexican,officials,stage,meet,states,venezuelans,center",0.31340,0.05585,https://static01.nyt.com/images/2023/10/05/world/05mexico-blinken/05mexico-blinken-facebookJumbo.jpg,"{'https://static01.nyt.com/images/2019/12/13/reader-center/author-eileen-sullivan/author-eileen-sullivan-thumbLarge.png', 'https://static01.nyt.com/images/2023/10/05/world/05mexico-blinken/05mexico-blinken-articleLarge.jpg?quality=75&auto=webp&disable=upscale', 'https://static01.nyt.com/images/2019/12/13/reader-center/author-zolan-kanno-youngs/author-zolan-kanno-youngs-thumbLarge.png', 'https://static01.nyt.com/images/2023/10/05/world/05mexico-blinken/05mexico-blinken-facebookJumbo.jpg'}"
7,New York Times,periodico,https://www.nytimes.com/2023/10/05/books/jon-fosse-nobel-prize-literature.html,Portada del dia,"Jon Fosse, Norwegian Author, Receives the Nobel Prize in Literature","{""Alex Marshall"",""Alexandra Alter""}",2023-10-05,"The Norwegian novelist, poet and playwright Jon Fosse — who has found a growing audience in the English-speaking world for novels that grapple with themes of aging, mortality, love and art — was awarded the Nobel Prize in Literature on Thursday, “for his innovative plays and prose which give voice to the unsayable.”A prolific writer who has published some 40 plays, as well as novels, poetry, essays, children’s books and works of translation, Fosse has long been revered for his spare, transcendent language and formal experimentation.
In a news conference on Thursday, Anders Olsson, the chairman of the Nobel literature committee, praised “Fosse’s sensitive language, which probes the limits of words.”Fosse’s work has been translated into around 50 languages and he is among the world’s most widely performed living playwrights.
But he has only recently found major acclaim in English-speaking countries, thanks mainly to his fiction: “A New Name: Septology VI-VII” was a finalist for a National Book Award last year, and two of his novels have been nominated for the International Booker Prize.","The Norwegian novelist, poet and playwright Jon Fosse — who has found a growing audience in the English-speaking world for novels that grapple with themes of aging, mortality, love and art — was awarded the Nobel Prize in Literature on Thursday, “for his innovative plays and prose which give voice to the unsayable.”

A prolific writer who has published some 40 plays, as well as novels, poetry, essays, children’s books and works of translation, Fosse has long been revered for his spare, transcendent language and formal experimentation.

In a news conference on Thursday, Anders Olsson, the chairman of the Nobel literature committee, praised “Fosse’s sensitive language, which probes the limits of words.”

Fosse’s work has been translated into around 50 languages and he is among the world’s most widely performed living playwrights. But he has only recently found major acclaim in English-speaking countries, thanks mainly to his fiction: “A New Name: Septology VI-VII” was a finalist for a National Book Award last year, and two of his novels have been nominated for the International Booker Prize.","language,englishspeaking,literature,plays,worlds,receives,novels,nobel,writer,prize,jon,norwegian,fosse,author",0.48352,0.15829,https://static01.nyt.com/images/2023/10/05/multimedia/05Nobel-Fosse-sub-hgmw/05Nobel-Fosse-sub-hgmw-facebookJumbo.jpg,"{'https://static01.nyt.com/images/2023/10/05/multimedia/05Nobel-Fosse-sub-hgmw/05Nobel-Fosse-sub-hgmw-facebookJumbo.jpg', 'https://static01.nyt.com/images/2023/02/16/books/author-alexandra-alter/author-alexandra-alter-thumbLarge-v2.png', 'https://static01.nyt.com/images/2023/10/05/multimedia/05Nobel-Fosse-sub-hgmw/05Nobel-Fosse-sub-hgmw-articleLarge.jpg?quality=75&auto=webp&disable=upscale', 'https://static01.nyt.com/images/2018/09/10/multimedia/author-alex-marshall/author-alex-marshall-thumbLarge.png'}"
8,New York Times,periodico,https://www.nytimes.com/2023/10/05/world/middleeast/iran-armita-geravand.html,Portada del dia,"With Iranian Girl in Coma, Suspicion Falls on Government","{""Farnaz Fassihi""}",2023-10-05,"The 16-year-old girl, her short black hair uncovered, entered a subway car in Tehran early Sunday on her way to school, security camera footage broadcast by Iran’s state television showed.
Minutes later, she was dragged out unconscious and laid on the train platform.
All week, the girl, Armita Geravand, has been in a coma, guarded by security agents in the intensive care unit of a military hospital in Tehran and evoking broad comparisons with Mahsa Amini, who died last year at 22 in the custody of the morality police after being accused of violating Iran’s hijab rules, which require women to cover their hair.
Exactly what happened to Armita on Sunday is not clear, and the government has not released footage from inside the train that would reveal what made the teenager collapse.
But the news of another young woman in a coma under murky circumstances — another girl, another metro station, another hospital, another grief-stricken family — was enough to stir outrage in Iran and fuel accusations that the government’s hijab agents must have harmed her.","The 16-year-old girl, her short black hair uncovered, entered a subway car in Tehran early Sunday on her way to school, security camera footage broadcast by Iran’s state television showed. Minutes later, she was dragged out unconscious and laid on the train platform.

All week, the girl, Armita Geravand, has been in a coma, guarded by security agents in the intensive care unit of a military hospital in Tehran and evoking broad comparisons with Mahsa Amini, who died last year at 22 in the custody of the morality police after being accused of violating Iran’s hijab rules, which require women to cover their hair.

Exactly what happened to Armita on Sunday is not clear, and the government has not released footage from inside the train that would reveal what made the teenager collapse.

But the news of another young woman in a coma under murky circumstances — another girl, another metro station, another hospital, another grief-stricken family — was enough to stir outrage in Iran and fuel accusations that the government’s hijab agents must have harmed her.","hijab,footage,suspicion,armita,hospital,coma,girl,tehran,falls,security,iranian,irans,train",0.23539,0.02606,https://static01.nyt.com/images/2023/11/04/multimedia/04iran-armita-jhqp/04iran-armita-jhqp-facebookJumbo.jpg,"{'https://static01.nyt.com/images/2023/11/04/multimedia/04iran-armita-jhqp/04iran-armita-jhqp-facebookJumbo.jpg', 'https://static01.nyt.com/images/2023/11/04/multimedia/04iran-armita-jhqp/04iran-armita-jhqp-videoSixteenByNine1050.jpg', 'https://static01.nyt.com/images/2023/11/04/multimedia/04iran-armita-01-mzjq/04iran-armita-01-mzjq-articleLarge.jpg?quality=75&auto=webp&disable=upscale'}"
10,New York Times,periodico,https://www.nytimes.com/2023/10/05/business/media/emma-tucker-wall-street-journal.html,Portada del dia,The Remaking of The Wall Street Journal,"{""Katie Robertson""}",2023-10-05,"The Journal now has more than four million total paid subscribers, including 3.4 million digital-only subscribers.
(The Washington Post has fewer than three million total subscribers, while The New York Times has nearly 10 million.)
About 75 percent of readers are male, and the publication has struggled in recent years to increase its readership among younger audiences.
It also needs to make sure the coverage is appealing enough to retain subscribers, she said.
The review found that lowering the cancellation rate by just one percentage point would add over $3 million in annual revenue, she said.","“We are going to put more focus on improving our writing, making it more accessible and engaging to readers, while maintaining our reputation for accuracy and fairness,” she said, according to a recording.

Headlines and photo selection needed to be livened up, she said. (An example of this change in action: A much-talked-about front page on Aug. 8 that featured a large photo at the top of the page of an astonished-looking cat, tied to International Cat Day.)

Ms. Tucker told the newsroom she wanted The Journal to become “an audience-first publication for people who mean business,” enticing readers to come back more often to its digital products by focusing on exclusive stories, rather than commodity news.

Though the outlet started the digital race strong as one of the first newspapers to put its content behind a paywall in the mid-1990s, it has made only halting progress in adapting its newsroom as digital readers become the bulk of its subscribers. The Journal now has more than four million total paid subscribers, including 3.4 million digital-only subscribers. (The Washington Post has fewer than three million total subscribers, while The New York Times has nearly 10 million.)

The newsroom, she said, needs to expand its idea of a subscriber. About 75 percent of readers are male, and the publication has struggled in recent years to increase its readership among younger audiences. (The average age of its readers is 59.) It also needs to make sure the coverage is appealing enough to retain subscribers, she said. The review found that lowering the cancellation rate by just one percentage point would add over $3 million in annual revenue, she said.","wall,page,publication,readers,total,needs,street,remaking,subscribers,digital,newsroom,journal,million",0.32000,0.10446,https://static01.nyt.com/images/2023/09/27/business/00wsj/00wsj-facebookJumbo.png,"{'https://static01.nyt.com/images/2023/10/05/business/05WSJ-1/05WSJ-1-articleLarge.jpg?quality=75&auto=webp&disable=upscale', 'https://static01.nyt.com/images/2023/09/27/business/00wsj/00wsj-facebookJumbo.png', 'https://static01.nyt.com/images/2020/09/30/reader-center/author-katie-robertson/author-katie-robertson-thumbLarge.png', 'https://static01.nyt.com/images/2023/09/27/business/00wsj/00wsj-articleLarge.png?quality=75&auto=webp&disable=upscale'}"
